"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","BRA.NID_NGDP.A","OBS_VALUE","Brazil","Gross capital formation, Percent of GDP","Annual","Units","14.970","14.626","15.095","15.517","16.116","19.522","18.088","15.761","16.910","16.727"
"IMF.RES:WEO(9.0.0)","BOL.NGDPDPC.A","OBS_VALUE","Bolivia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3110.874","3388.523","3588.089","3591.403","3172.556","3449.205","3706.442","3748.093","3821.560","4585.184"
"IMF.RES:WEO(9.0.0)","BRA.NGDPDPC.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","8812.503","10055.567","9281.668","9010.512","7057.072","7951.553","9256.482","10350.437","10252.019","10577.855"
"IMF.RES:WEO(9.0.0)","ARG.NID_NGDP.A","OBS_VALUE","Argentina","Gross capital formation, Percent of GDP","Annual","Units","17.663","18.213","16.614","14.242","14.415","18.076","17.906","19.096","15.829","14.765"
"IMF.RES:WEO(9.0.0)","G205.NID_NGDP.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Gross capital formation, Percent of GDP","Annual","Units","19.336","18.810","19.122","18.861","17.962","20.574","20.450","19.520","19.495","19.204"
"IMF.RES:WEO(9.0.0)","BOL.NID_NGDP.A","OBS_VALUE","Bolivia","Gross capital formation, Percent of GDP","Annual","Units","21.057","22.220","20.596","19.875","15.778","16.791","16.617","17.617","13.371","13.806"
"IMF.RES:WEO(9.0.0)","BOL.GGXWDG_NGDP.A","OBS_VALUE","Bolivia","Gross debt, General government, Percent of GDP","Annual","Units","46.490","51.260","53.076","58.626","77.971","81.409","80.100","90.777","97.951","93.706"
"IMF.RES:WEO(9.0.0)","ARG.GGXWDG_NGDP.A","OBS_VALUE","Argentina","Gross debt, General government, Percent of GDP","Annual","Units","53.060","57.028","85.246","89.840","103.816","81.043","84.303","154.601","84.653","78.841"
"IMF.RES:WEO(9.0.0)","BRA.GGXWDG_NGDP.A","OBS_VALUE","Brazil","Gross debt, General government, Percent of GDP","Annual","Units","77.422","82.745","84.777","87.118","96.007","88.934","83.939","84.001","87.284","91.424"
"IMF.RES:WEO(9.0.0)","CRI.NGDPDPC.A","OBS_VALUE","Costa Rica","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","11986.918","12185.259","12428.924","12691.127","12163.927","12539.282","13239.876","16390.222","17908.546","19104.053"
"IMF.RES:WEO(9.0.0)","COL.NGDPDPC.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6037.140","6577.280","6923.640","6540.135","5363.241","6231.240","6687.587","7015.002","7947.824","8249.219"
"IMF.RES:WEO(9.0.0)","CRI.GGXWDG_NGDP.A","OBS_VALUE","Costa Rica","Gross debt, General government, Percent of GDP","Annual","Units","44.056","47.064","51.839","56.431","66.912","67.628","62.985","61.119","59.753","59.655"
"IMF.RES:WEO(9.0.0)","CRI.NID_NGDP.A","OBS_VALUE","Costa Rica","Gross capital formation, Percent of GDP","Annual","Units","18.889","18.065","18.370","16.064","16.163","18.582","17.697","15.257","15.669","14.586"
